FA1E	CJK COMPATIBILITY IDEOGRAPH-FA1E
	: 7FBD
FA20	CJK COMPATIBILITY IDEOGRAPH-FA20
	: 8612
FA22	CJK COMPATIBILITY IDEOGRAPH-FA22
	: 8AF8
FA25	CJK COMPATIBILITY IDEOGRAPH-FA25
	: 9038
FA26	CJK COMPATIBILITY IDEOGRAPH-FA26
	: 90FD
FA2A	CJK COMPATIBILITY IDEOGRAPH-FA2A
	: 98EF
FA2B	CJK COMPATIBILITY IDEOGRAPH-FA2B
	: 98FC
FA2C	CJK COMPATIBILITY IDEOGRAPH-FA2C
	: 9928
FA2D	CJK COMPATIBILITY IDEOGRAPH-FA2D
	: 9DB4
FA2E	CJK COMPATIBILITY IDEOGRAPH-FA2E
	: 90DE
FA2F	CJK COMPATIBILITY IDEOGRAPH-FA2F
	: 96B7
FA30	CJK COMPATIBILITY IDEOGRAPH-FA30
	: 4FAE
FA31	CJK COMPATIBILITY IDEOGRAPH-FA31
	: 50E7
FA32	CJK COMPATIBILITY IDEOGRAPH-FA32
	: 514D
FA33	CJK COMPATIBILITY IDEOGRAPH-FA33
	: 52C9
FA34	CJK COMPATIBILITY IDEOGRAPH-FA34
	: 52E4
FA35	CJK COMPATIBILITY IDEOGRAPH-FA35
	: 5351
FA36	CJK COMPATIBILITY IDEOGRAPH-FA36
	: 559D
FA37	CJK COMPATIBILITY IDEOGRAPH-FA37
	: 5606
FA38	CJK COMPATIBILITY IDEOGRAPH-FA38
	: 5668
FA39	CJK COMPATIBILITY IDEOGRAPH-FA39
	: 5840
FA3A	CJK COMPATIBILITY IDEOGRAPH-FA3A
	: 58A8
FA3B	CJK COMPATIBILITY IDEOGRAPH-FA3B
	: 5C64
FA3C	CJK COMPATIBILITY IDEOGRAPH-FA3C
	: 5C6E
FA3D	CJK COMPATIBILITY IDEOGRAPH-FA3D
	: 6094
FA3E	CJK COMPATIBILITY IDEOGRAPH-FA3E
	: 6168
FA3F	CJK COMPATIBILITY IDEOGRAPH-FA3F
	: 618E
FA40	CJK COMPATIBILITY IDEOGRAPH-FA40
	: 61F2
FA41	CJK COMPATIBILITY IDEOGRAPH-FA41
	: 654F
FA42	CJK COMPATIBILITY IDEOGRAPH-FA42
	: 65E2
FA43	CJK COMPATIBILITY IDEOGRAPH-FA43
	: 6691
FA44	CJK COMPATIBILITY IDEOGRAPH-FA44
	: 6885
FA45	CJK COMPATIBILITY IDEOGRAPH-FA45
	: 6D77
FA46	CJK COMPATIBILITY IDEOGRAPH-FA46
	: 6E1A
FA47	CJK COMPATIBILITY IDEOGRAPH-FA47
	: 6F22
FA48	CJK COMPATIBILITY IDEOGRAPH-FA48
	: 716E
FA49	CJK COMPATIBILITY IDEOGRAPH-FA49
	: 722B
FA4A	CJK COMPATIBILITY IDEOGRAPH-FA4A
	: 7422
FA4B	CJK COMPATIBILITY IDEOGRAPH-FA4B
	: 7891
FA4C	CJK COMPATIBILITY IDEOGRAPH-FA4C
	: 793E
FA4D	CJK COMPATIBILITY IDEOGRAPH-FA4D
	: 7949
FA4E	CJK COMPATIBILITY IDEOGRAPH-FA4E
	: 7948
FA4F	CJK COMPATIBILITY IDEOGRAPH-FA4F
	: 7950
FA50	CJK COMPATIBILITY IDEOGRAPH-FA50
	: 7956
FA51	CJK COMPATIBILITY IDEOGRAPH-FA51
	: 795D
FA52	CJK COMPATIBILITY IDEOGRAPH-FA52
	: 798D
FA53	CJK COMPATIBILITY IDEOGRAPH-FA53
	: 798E
FA54	CJK COMPATIBILITY IDEOGRAPH-FA54
	: 7A40
FA55	CJK COMPATIBILITY IDEOGRAPH-FA55
	: 7A81
FA56	CJK COMPATIBILITY IDEOGRAPH-FA56
	: 7BC0
FA57	CJK COMPATIBILITY IDEOGRAPH-FA57
	: 7DF4
FA58	CJK COMPATIBILITY IDEOGRAPH-FA58
	: 7E09
FA59	CJK COMPATIBILITY IDEOGRAPH-FA59
	: 7E41
FA5A	CJK COMPATIBILITY IDEOGRAPH-FA5A
	: 7F72
FA5B	CJK COMPATIBILITY IDEOGRAPH-FA5B
	: 8005
FA5C	CJK COMPATIBILITY IDEOGRAPH-FA5C
	: 81ED
FA5D	CJK COMPATIBILITY IDEOGRAPH-FA5D
	: 8279
FA5E	CJK COMPATIBILITY IDEOGRAPH-FA5E
	: 8279
FA5F	CJK COMPATIBILITY IDEOGRAPH-FA5F
	: 8457
FA60	CJK COMPATIBILITY IDEOGRAPH-FA60
	: 8910
FA61	CJK COMPATIBILITY IDEOGRAPH-FA61
	: 8996
FA62	CJK COMPATIBILITY IDEOGRAPH-FA62
	: 8B01
FA63	CJK COMPATIBILITY IDEOGRAPH-FA63
	: 8B39
FA64	CJK COMPATIBILITY IDEOGRAPH-FA64
	: 8CD3
FA65	CJK COMPATIBILITY IDEOGRAPH-FA65
	: 8D08
FA66	CJK COMPATIBILITY IDEOGRAPH-FA66
	: 8FB6
FA67	CJK COMPATIBILITY IDEOGRAPH-FA67
	: 9038
FA68	CJK COMPATIBILITY IDEOGRAPH-FA68
	: 96E3
FA69	CJK COMPATIBILITY IDEOGRAPH-FA69
	: 97FF
FA6A	CJK COMPATIBILITY IDEOGRAPH-FA6A
	: 983B
FA6B	CJK COMPATIBILITY IDEOGRAPH-FA6B
	: 6075
FA6C	CJK COMPATIBILITY IDEOGRAPH-FA6C
	: 242EE
FA6D	CJK COMPATIBILITY IDEOGRAPH-FA6D
	: 8218
FA70	CJK COMPATIBILITY IDEOGRAPH-FA70
	: 4E26
FA71	CJK COMPATIBILITY IDEOGRAPH-FA71
	: 51B5
FA72	CJK COMPATIBILITY IDEOGRAPH-FA72
	: 5168
FA73	CJK COMPATIBILITY IDEOGRAPH-FA73
	: 4F80
FA74	CJK COMPATIBILITY IDEOGRAPH-FA74
	: 5145
FA75	CJK COMPATIBILITY IDEOGRAPH-FA75
	: 5180
FA76	CJK COMPATIBILITY IDEOGRAPH-FA76
	: 52C7
FA77	CJK COMPATIBILITY IDEOGRAPH-FA77
	: 52FA
FA78	CJK COMPATIBILITY IDEOGRAPH-FA78
	: 559D
FA79	CJK COMPATIBILITY IDEOGRAPH-FA79
	: 5555
FA7A	CJK COMPATIBILITY IDEOGRAPH-FA7A
	: 5599
FA7B	CJK COMPATIBILITY IDEOGRAPH-FA7B
	: 55E2
FA7C	CJK COMPATIBILITY IDEOGRAPH-FA7C
	: 585A
FA7D	CJK COMPATIBILITY IDEOGRAPH-FA7D
	: 58B3
